,bias,cells,cellswithmotif,cellswithmotif_sd,cellswithmotif_se,elong,maxstrandlen,motif,motiffreq,motiffreq_sd,motiffreq_se,nonemptystrands,nonemptystrands_sd,nonemptystrands_se,nr_samples,rounds,sampler_start,strands,trials
0,"[0.5, 0.5]",100,"['0.78303999999999996', '0.0055196376692678243']","['0.0062646947252040473', '0.0055196376692678243']","['0.0014008283263840615', '0.0012342285039651357']",0.05,7,"['00000', '11111']","['0.026563515868995979', '0.026720859127929774']","['0.00042602582969270464', '0.00036847211422622603']","['9.5262271536363582e-05', '8.2392869522290873e-05']",['0.83330349999999986'],['0.0010062715090868679'],['0.0002250091498139534'],50,7000,1000,100,20
1,"[0.6, 0.4]",100,"['0.69462999999999997', '0.016145696020921505']","['0.019978015416952689', '0.016145696020921505']","['0.0044672200527845016', '0.0036102873846828348']",0.05,7,"['00000', '11111']","['0.033151330556673783', '0.033194263137421166']","['0.0022195408256048465', '0.002173387547884883']","['0.00049630441648884421', '0.00048598422985221773']",['0.8332792'],['0.0009955282818684822'],['0.00022260689117814975'],50,7000,1000,100,20
2,"[0.7, 0.3]",100,"['0.59461000000000008', '0.092301004869936268']","['0.085305673316608918', '0.092301004869936268']","['0.019074928440232748', '0.020639132128071662']",0.05,7,"['00000', '11111']","['0.059753199164690428', '0.056418272547945736']","['0.013836420154208122', '0.013273114868409215']","['0.0030939176030057485', '0.0029679587118926179']",['0.8333335999999999'],['0.00082135366316830665'],['0.00018366026244127988'],50,7000,1000,100,20
3,"[0.8, 0.2]",100,"['0.54421999999999993', '0.2062390678314853']","['0.20483661684376647', '0.2062390678314853']","['0.045802859954374026', '0.046116457528739122']",0.05,7,"['00000', '11111']","['0.10786570810624171', '0.093566021158762808']","['0.043617299348785853', '0.042976838311198681']","['0.0097531246338842473', '0.0096099131921857511']",['0.83347270000000007'],['0.00089810940870250957'],['0.00020082336890909526'],50,7000,1000,100,20
4,"[0.9, 0.1]",100,"['0.67671000000000014', '0.25972034498667984']","['0.25773335426366534', '0.25972034498667984']","['0.05763093002025909', '0.058075234652991282']",0.05,7,"['00000', '11111']","['0.21846523167609955', '0.10677944122347405']","['0.0863052776627459', '0.089292350976521773']","['0.019298446767089399', '0.019966376665427239']",['0.83352249999999994'],['0.00082901914935663813'],['0.00018537431726104939'],50,7000,1000,100,20
5,"[1.0, 0.0]",100,"['0.54250999999999994', '0.3316526924359276']","['0.32899100580411011', '0.3316526924359276']","['0.0735646252964018', '0.074159796520756438']",0.05,7,"['00000', '11111']","['0.25619102220790013', '0.22239374932433537']","['0.15703337288481853', '0.15791405269472841']","['0.035113729650652646', '0.035310655642789658']",['0.83280960000000004'],['0.0010179160279708609'],['0.00022761294339294222'],50,7000,1000,100,20
6,"[0.6, 0.4]",100,"['0.82796000000000003', '0.0065966355060743153']","['0.0062615014173918269', '0.0065966355060743153']","['0.0014001142810499407', '0.0014750525414370895']",0.05,7,"['11111', '00000']","['0.028911430269514288', '0.029062897288985673']","['0.00034060666127784821', '0.00042786563802803268']","['7.6161964820651396e-05', '9.567366518670001e-05']",['0.83313120000000007'],['0.0010599447910150633'],['0.00023701086051064897'],50,7000,1000,100,20
7,"[0.7, 0.3]",100,"['0.85846', '0.0051188279908588449']","['0.0048025409940988546', '0.0051188279908588449']","['0.0010738808127534454', '0.0011446047352689048']",0.05,7,"['11111', '00000']","['0.032173203290633397', '0.032173750227490958']","['0.00043543160814900626', '0.00044826116985947868']","['9.7365467537322931e-05', '0.00010023424474793741']",['0.83293539999999999'],['0.00091752190164592689'],['0.00020516413429251686'],50,7000,1000,100,20
8,"[0.8, 0.2]",100,"['0.88006999999999991', '0.0045554802161791776']","['0.0049288031001451238', '0.0045554802161791776']","['0.00110211387796362', '0.0010186363433532077']",0.05,7,"['11111', '00000']","['0.034808408279791384', '0.03481641286167856']","['0.00043322381305633829', '0.0004028772578036081']","['9.687178954656333e-05', '9.008609350375753e-05']",['0.83332380000000017'],['0.0011062522135570991'],['0.00024736551497732878'],50,7000,1000,100,20
9,"[0.9, 0.1]",100,"['0.89627000000000012', '0.0042572291458177524']","['0.0049832820510181631', '0.0042572291458177524']","['0.0011142957417131188', '0.00095194537658418587']",0.05,7,"['11111', '00000']","['0.036533329478025005', '0.036612933270406982']","['0.00041372739691955724', '0.00042091426135845711']","['9.25122583666167e-05', '9.4119290109662297e-05']",['0.83328430000000009'],['0.00096489590630288453'],['0.00021575728377045176'],50,7000,1000,100,20
10,"[1.0, 0.0]",100,"['0.9094199999999999', '0.0043890317838903613']","['0.0046134152208532142', '0.0043890317838903613']","['0.0010315910042259992', '0.00098141734241860134']",0.05,7,"['11111', '00000']","['0.037742519337525135', '0.037787546801743933']","['0.00038586453795342039', '0.00040985167159946065']","['8.6281933697039548e-05', '9.1645619838831392e-05']",['0.83366999999999991'],['0.00099527282691732146'],['0.00022254976971455132'],50,7000,1000,100,20
