,bias,cells,cellswithmotif,cellswithmotif_sd,cellswithmotif_se,elong,maxstrandlen,motif,motiffreq,motiffreq_sd,motiffreq_se,nonemptystrands,nonemptystrands_sd,nonemptystrands_se,nr_samples,rounds,sampler_start,strands,trials
0,0.5,200,0.95830999999999977,0.0025945905264607855,0.00058016807909432825,0.05,7,00001,0.058409601066985693,0.00046638951287093289,0.0001042878654772419,0.90912830000000011,0.0004419748974772192,9.8828591510756239e-05,50,7000,1000,100,20
1,0.6,200,0.98411500000000007,0.0013024112253816268,0.00029122800346121172,0.05,7,00001,0.095238357987347977,0.00062347789010830552,0.00013941389447503149,0.90915230000000002,0.00042011761448427592,9.3941154453189117e-05,50,7000,1000,100,20
2,0.7,200,0.9936299999999999,0.00087298339044907978,0.0001952050204272383,0.05,7,00001,0.13310814251125086,0.0010739225162251043,0.0002401363748846954,0.90897714999999979,0.00031676872872806746,7.0831641058214935e-05,50,7000,1000,100,20
3,0.8,200,0.9958950000000002,0.00081699143202359462,0.0001826848379039656,0.05,7,00001,0.15214096286334441,0.0010214879971096489,0.00022841165997372837,0.90902980000000011,0.00032759084236287151,7.3251539232979849e-05,50,7000,1000,100,20
4,0.9,200,0.99565999999999977,0.00070028565600046405,0.0001565886330485071,0.05,7,00001,0.12161832449428026,0.00063332204718487739,0.0001416151149154715,0.90917179999999997,0.00037823955372220236,8.4576935390202806e-05,50,7000,1000,100,20
5,1.0,200,0.92577500000000001,0.0037652191171298091,0.00084192858960839957,0.05,7,00001,0.010804482516227593,7.0477697385382281e-05,1.5759292225137398e-05,0.90903864999999995,0.00043171973258122827,9.6535466927965717e-05,50,7000,1000,100,20
6,0.5,200,0.95806500000000006,0.0021382878664950428,0.00047813570249459106,0.05,7,10000,0.05843835516835575,0.00041554301143690409,9.2918242114789013e-05,0.90895309999999996,0.00036382356987970413,8.1353423406766332e-05,50,7000,1000,100,20
7,0.6,200,0.98136499999999993,0.0016778781242986608,0.00037518495438916468,0.05,7,10000,0.096239733780591974,0.00058035373207705157,0.00012977103959199875,0.9091148,0.00040852326739122309,9.1348579627709796e-05,50,7000,1000,100,20
8,0.7,200,0.9906250000000002,0.0010723222463420519,0.00023977854366061033,0.05,7,10000,0.13429525628468295,0.00084225123086722207,0.00018833310063519777,0.90921765000000021,0.00036926552438587746,8.2570281427392828e-05,50,7000,1000,100,20
9,0.8,200,0.99256499999999992,0.0013730531672153194,0.00030702402186148396,0.05,7,10000,0.15419648510008549,0.00083243882469827214,0.00018613897991353673,0.90905590000000003,0.00053165570626112003,0.00011888182998255248,50,7000,1000,100,20
10,0.9,200,0.98713999999999991,0.0014800000000000134,0.00033093806066997184,0.05,7,10000,0.12781251317456771,0.0011378698269329183,0.00025443542825679262,0.90918235000000025,0.00048643152395792198,0.00010876939539687311,50,7000,1000,100,20
11,1.0,200,0.89405000000000001,0.0031390285121355816,0.00070190811364451839,0.05,7,10000,0.07869948170693325,0.0015472624845791006,0.00034597840945540886,0.90904165000000003,0.00042613498741597396,9.5286679945313522e-05,50,7000,1000,100,20
12,0.5,100,0.94608000000000003,0.0034781604333325622,0.00077774031655817341,0.05,7,00001,0.038084208923387701,0.00042253923038513674,9.4482644230161033e-05,0.83328240000000009,0.00088151752109641294,0.00019711331005286842,50,7000,1000,200,20
13,0.6,100,0.97402999999999995,0.001939355563067261,0.00043365308715607759,0.05,7,00001,0.062234266806912554,0.00058555860483654719,0.00013093488452244566,0.83344055000000006,0.00084226174524315058,0.00018833545172112947,50,7000,1000,200,20
14,0.7,100,0.98682000000000003,0.0025494313091354256,0.00057007017111930915,0.05,7,00001,0.086747316816370504,0.00085341458904177818,0.00019082930340874631,0.83353685,0.0011188767704711469,0.00025018845172189138,50,7000,1000,200,20
15,0.8,100,0.99287000000000014,0.0013598161640457145,0.00030406413797092228,0.05,7,00001,0.099216075821376634,0.00066731800747419636,0.00014921684273220157,0.83341054999999997,0.00066371767152914954,0.00014841178314070551,50,7000,1000,200,20
16,0.9,100,0.99256000000000033,0.0018402173784637169,0.00041148511516213282,0.05,7,00001,0.079255471986923898,0.00069596071453599702,0.00015562154673718154,0.83334094999999997,0.00069019638328520242,0.00015433260308502121,50,7000,1000,200,20
17,1.0,100,0.95844000000000007,0.0035556152772761884,0.00079505974618263205,0.05,7,00001,0.0067178054072584998,5.2534989239413552e-05,1.1747180713654867e-05,0.83335875000000004,0.0008065005192186398,0.00018033899848617541,50,7000,1000,200,20
18,0.5,100,0.94429000000000018,0.0038623697389038197,0.00086365212904270547,0.05,7,10000,0.038193191393882046,0.00032785633767642649,7.3310905789861506e-05,0.83360179999999995,0.00067728144814396081,0.0001514447357949395,50,7000,1000,200,20
19,0.6,100,0.97186000000000017,0.0028482275190019573,0.00063688303478739506,0.05,7,10000,0.062822734633973504,0.00071480505315440481,0.00015983526895135995,0.83364214999999997,0.00091366937537603601,0.00020430268323005888,50,7000,1000,200,20
20,0.7,100,0.98209999999999997,0.0030525399260288343,0.00068256867786326524,0.05,7,10000,0.087960159711014702,0.00072491089820324642,0.0001620950046012889,0.83349600000000001,0.00072365171180616811,0.00016181344196326789,50,7000,1000,200,20
21,0.8,100,0.98410000000000009,0.0023490423580685375,0.00052526183946676516,0.05,7,10000,0.10110973368059092,0.00089909892212622204,0.00020104463083710222,0.83301239999999999,0.0007108294028808725,0.00015894628652472157,50,7000,1000,200,20
22,0.9,100,0.97787999999999986,0.0034072863102474582,0.00076189238085177548,0.05,7,10000,0.085299130593422506,0.0011101299333223205,0.00024823259947660175,0.83340795000000001,0.0010270999208938055,0.00022966652428032055,50,7000,1000,200,20
23,1.0,100,0.85957000000000006,0.0066876827077845136,0.0014954113146556033,0.05,7,10000,0.058594092356375985,0.0018383848508365577,0.00041107534952763541,0.8335229999999999,0.00077498877411223113,0.00017329275807141781,50,7000,1000,200,20
24,0.5,100,0.49362000000000006,0.0075519269064259426,0.00168866219238781,0.05,7,00001,0.03825389328460297,0.0011068094389492444,0.00024749011436289139,0.83344319999999994,0.00088629169013367611,0.00019818084670320793,50,7000,1000,25,20
25,0.6,100,0.54559000000000002,0.0097366267259251377,0.002177175923070982,0.05,7,00001,0.049055909899970766,0.0013278054431921781,0.00029690632318719456,0.83314920000000003,0.0010477718072175804,0.00023428889858463143,50,7000,1000,25,20
