'1100110','110110','011','0111010','0111101','10000','10000','0011010','10000','0000001','110101','000','0110010','10000','10000','10000','10000','10000','011','0101011','10000','10011','10000','11001','1001000','011001','0100100','0010111','0001011','10000','10000','10000','10000','10000','10000','10000','1100101','1000110','10101','1001001','010001','10000','1100110','0111001','0011','0101','001100','101101','1011001','10000','0011111','0001100','10000','10000','10000','10000','111','10000','10000','0001000','0010101','1110101','001001','1011111','10000','11000','10000','1010101','001010','00','10000','0110110','0111001','011101','100011','1101011','10000','10000','10000','0101100','10000','10000','10000','100010','10000','10000','10000','000110','0100101','10000','10000','0','10000','10000','10000','1010101','10000','10000','0001000','10000'
'-------','------','---','-------','-------','-----','-----','-------','-----','-------','------','---','-------','-----','-----','-----','-----','-----','---','-------','-----','-----','-----','-----','-------','------','-------','-------','-------','-----','-----','-----','-----','-----','-----','-----','-------','-------','-----','-------','------','-----','-------','-------','----','----','------','------','-------','-----','-------','-------','-----','-----','-----','-----','---','-----','-----','-------','-------','-------','------','-------','-----','-----','-----','-------','------','--','-----','-------','-------','------','------','-------','-----','-----','-----','-------','-----','-----','-----','------','-----','-----','-----','------','-------','-----','-----','-','-----','-----','-----','-------','-----','-----','-------','-----'
'011','10000','10000','10000','00001','10000','10000','10000','101101','10001','10000','10000','10000','1010011','0100011','10000','10000','1110011','10000','10000','10000','10000','10000','10000','10000','10000','000010','10000','000','0100101','100100','001101','01','1001110','10000','110011','10000','10000','0010100','0000000','1111111','00001','0100011','10000','10000','1000','011011','1000110','00100','1110001','011111','10000','10000','0101110','10000','10000','10000','10000','1000100','10000','0101001','01','1101110','10000','10000','10000','11010','10000','001000','10000','10000','0000001','1100100','00101','1101000','10000','10000','1101100','10000','10000','10000','11101','10000','0101110','001','001100','101101','101100','10000','1000101','110110','100100','10000','10000','10000','1110001','10000','0101011','0110011','10000'
'---','-----','-----','-----','-----','-----','-----','-----','------','-----','-----','-----','-----','-------','-------','-----','-----','-------','-----','-----','-----','-----','-----','-----','-----','-----','------','-----','---','-------','------','------','--','-------','-----','------','-----','-----','-------','-------','-------','-----','-------','-----','-----','----','------','-------','-----','-------','------','-----','-----','-------','-----','-----','-----','-----','-------','-----','-------','--','-------','-----','-----','-----','-----','-----','------','-----','-----','-------','-------','-----','-------','-----','-----','-------','-----','-----','-----','-----','-----','-------','---','------','------','------','-----','-------','------','------','-----','-----','-----','-------','-----','-------','-------','-----'
'0100011','1111101','010101','00000','110111','11111','1100111','1100010','10000','011','10000','01010','0101101','10000','10000','001110','11100','10010','10000','10000','10000','10000','10000','10000','10010','0101100','10000','10000','1110001','10000','10000','110100','0001010','10000','0110010','1011110','0001001','10000','0000100','1000101','011000','000100','10000','10000','010111','10000','1110110','0000010','0011110','10000','10000','10000','10000','11001','001011','0110','10000','10000','10000','10000','10000','000001','111000','0001110','1000101','10000','10000','10111','000010','10000','1111110','01100','10000','10000','10000','10000','0011101','10000','10000','10000','1111101','10000','10000','10000','10000','0110100','10000','10000','0111100','0010111','0011000','10000','10000','1011010','10000','10000','10000','1001100','10000','10000'
'-------','-------','------','-----','------','-----','-------','-------','-----','---','-----','-----','-------','-----','-----','------','-----','-----','-----','-----','-----','-----','-----','-----','-----','-------','-----','-----','-------','-----','-----','------','-------','-----','-------','-------','-------','-----','-------','-------','------','------','-----','-----','------','-----','-------','-------','-------','-----','-----','-----','-----','-----','------','----','-----','-----','-----','-----','-----','------','------','-------','-------','-----','-----','-----','------','-----','-------','-----','-----','-----','-----','-----','-------','-----','-----','-----','-------','-----','-----','-----','-----','-------','-----','-----','-------','-------','-------','-----','-----','-------','-----','-----','-----','-------','-----','-----'
'101010','000001','10000','1101001','01101','10000','10000','10000','1010','10000','10000','0011','1010110','1100110','11010','0001000','1010100','10000','10000','10000','0001110','10000','1010100','10000','1001111','11100','10000','1000111','10000','1110111','10000','0111010','00000','10000','10000','10000','10000','10000','110001','1','110100','0101','10000','10000','10000','10000','0101100','11010','10000','0000110','10000','10000','110011','1011011','010110','10000','10000','0000','1011011','10000','0010100','110110','10000','00011','11100','0000010','0010010','10000','10000','10000','10000','1010010','10000','10000','00111','10000','1001100','10000','111000','1010011','0010001','0','10000','10000','0001110','011001','11110','10000','1110100','10000','10000','1101000','011100','1111011','10000','10000','1001011','10000','0010010','001001'
'------','------','-----','-------','-----','-----','-----','-----','----','-----','-----','----','-------','-------','-----','-------','-------','-----','-----','-----','-------','-----','-------','-----','-------','-----','-----','-------','-----','-------','-----','-------','-----','-----','-----','-----','-----','-----','------','-','------','----','-----','-----','-----','-----','-------','-----','-----','-------','-----','-----','------','-------','------','-----','-----','----','-------','-----','-------','------','-----','-----','-----','-------','-------','-----','-----','-----','-----','-------','-----','-----','-----','-----','-------','-----','------','-------','-------','-','-----','-----','-------','------','-----','-----','-------','-----','-----','-------','------','-------','-----','-----','-------','-----','-------','------'
'10000','10000','010001','10000','0011001','10000','10000','10000','001010','0010010','011111','1100100','0111101','10000','10000','10000','1001101','0100011','0111100','000010','10000','111000','10000','101110','10000','01011','10000','1101100','10000','001','10000','01011','10000','10011','010001','10000','10000','10000','1011','10000','10000','10000','10000','1110110','010','010100','10000','1011101','00100','11110','0100100','111','0011000','10000','1011110','10000','1001010','100110','000100','10000','0111000','10000','10000','1111101','10000','10000','00110','10000','10000','10000','10000','10000','1100101','10000','10000','0001000','0110010','110001','10000','0100010','10000','10000','10000','001110','10000','010111','10000','00100','10000','10000','0010011','10000','0001001','10000','101100','10000','01111','0000101','10000','101101'
'-----','-----','------','-----','-------','-----','-----','-----','------','-------','------','-------','-------','-----','-----','-----','-------','-------','-------','------','-----','------','-----','------','-----','-----','-----','-------','-----','---','-----','-----','-----','-----','------','-----','-----','-----','----','-----','-----','-----','-----','-------','---','------','-----','-------','-----','-----','-------','---','-------','-----','-------','-----','-------','------','------','-----','-------','-----','-----','-------','-----','-----','-----','-----','-----','-----','-----','-----','-------','-----','-----','-------','-------','------','-----','-------','-----','-----','-----','------','-----','------','-----','-----','-----','-----','-------','-----','-------','-----','------','-----','-----','-------','-----','------'
'1001110','101001','10000','001110','1100111','10000','10000','10000','10000','10000','10000','1101100','10000','101010','10000','10000','0100010','10000','10000','1111100','101101','10000','011001','10000','10000','11','111011','10000','0010011','000110','0100101','10000','10000','10000','01010','10000','10000','10000','10000','10000','10000','10000','1110110','100101','10000','110100','10000','1011000','10000','10000','100110','10000','110001','11011','10000','101100','10000','10000','10000','1010110','10000','0000100','110011','10000','00','10000','1001110','10000','0100','00101','11001','10000','001','1010100','1110','1000101','10000','0111111','10000','10000','10000','0001000','10000','10000','10000','10000','10000','0110101','10000','10000','10000','00010','111010','10000','0011001','10000','10000','10000','1111011','01011'
