'0011110','10000','0010110','001110','0101111','10000','1011000','10000','10000','10000','0100001','10000','000','10000','10000','00111','0','1110','10000','1111000','10000','10000','10000','011000','01001','10000','001100','01000','0100000','00111','10000','10000','10000','111111','10000','0001010','10000','1100111','10000','10000','1110111','10000','1010110','1001000','0011','10000','10000','10000','10000','10000','0011000','1001110','10000','10000','1011110','10000','001000','0','110010','10000','1000001','110001','011010','10000','10000','001101','10000','0001111','1010110','1100001','1111000','10000','110110','10000','10000','10000','10000','10000','10101','0000010','110101','10000','01000','0001011','10000','1001010','0100101','0101','10000','10000','010011','1110000','10111','010010','10000','10000','10000','0111011','10000','10000'
'-------','-----','-------','------','-------','-----','-------','-----','-----','-----','-------','-----','---','-----','-----','-----','-','----','-----','-------','-----','-----','-----','------','-----','-----','------','-----','-------','-----','-----','-----','-----','------','-----','-------','-----','-------','-----','-----','-------','-----','-------','-------','----','-----','-----','-----','-----','-----','-------','-------','-----','-----','-------','-----','------','-','------','-----','-------','------','------','-----','-----','------','-----','-------','-------','-------','-------','-----','------','-----','-----','-----','-----','-----','-----','-------','------','-----','-----','-------','-----','-------','-------','----','-----','-----','------','-------','-----','------','-----','-----','-----','-------','-----','-----'
'0000100','100111','10000','0011','10000','10000','10000','10000','1110011','10000','0111111','10000','10000','10000','10000','011011','0000110','10000','10000','00011','10000','1011010','0110011','10000','0110001','10000','10000','01010','10000','10000','0101','01001','10000','0111100','0101100','10000','0100','10000','10000','101010','10000','10000','10000','10000','10000','10000','1011','0100011','01100','11000','10000','10000','11111','10110','000010','10000','1111010','1001','1100','1010011','10000','10000','0000100','10000','10100','010101','10000','10000','10000','10000','1011100','10000','10000','111110','1101110','00111','10000','10000','10000','10000','1110101','01010','0011111','10000','10000','10101','1100111','1101000','0101010','0011010','0101','10000','010011','10000','001110','1110011','1010111','10000','10000','101'
'-------','------','-----','----','-----','-----','-----','-----','-------','-----','-------','-----','-----','-----','-----','------','-------','-----','-----','-----','-----','-------','-------','-----','-------','-----','-----','-----','-----','-----','----','-----','-----','-------','-------','-----','----','-----','-----','------','-----','-----','-----','-----','-----','-----','----','-------','-----','-----','-----','-----','-----','-----','------','-----','-------','----','----','-------','-----','-----','-------','-----','-----','------','-----','-----','-----','-----','-------','-----','-----','------','-------','-----','-----','-----','-----','-----','-------','-----','-------','-----','-----','-----','-------','-------','-------','-------','----','-----','------','-----','------','-------','-------','-----','-----','---'
'011','10000','10000','10000','10000','10000','001000','10000','10000','01101','101110','0110000','10000','10000','10000','00000','10000','000010','10000','10000','10000','00010','1110110','0111111','10000','0110101','10000','0101110','10000','111010','1100011','10000','10000','10000','0101000','10000','10000','10000','10000','110','10000','0011011','101110','111','1100101','0111010','1111000','10000','1000101','1001','10000','10000','10000','1110','10000','001111','1111101','10000','10000','10010','0111000','0011010','000101','10000','10000','10000','10000','110001','010011','100111','10000','10000','10000','10000','10101','10000','10000','10000','10000','101010','01100','10000','10000','1100010','1011010','10000','10000','0111000','0110011','0001101','0001110','0110110','10000','10000','100100','10000','0001','10000','10000','111000'
'---','-----','-----','-----','-----','-----','------','-----','-----','-----','------','-------','-----','-----','-----','-----','-----','------','-----','-----','-----','-----','-------','-------','-----','-------','-----','-------','-----','------','-------','-----','-----','-----','-------','-----','-----','-----','-----','---','-----','-------','------','---','-------','-------','-------','-----','-------','----','-----','-----','-----','----','-----','------','-------','-----','-----','-----','-------','-------','------','-----','-----','-----','-----','------','------','------','-----','-----','-----','-----','-----','-----','-----','-----','-----','------','-----','-----','-----','-------','-------','-----','-----','-------','-------','-------','-------','-------','-----','-----','------','-----','----','-----','-----','------'
'001000','10000','0100011','0011101','10111','10000','011010','0010110','10000','0100101','10000','10000','10000','10000','10000','01010','10000','10000','10000','00110','0111010','10000','1001000','00','10000','1100111','10000','10000','0010','101111','1101000','10000','1010100','1011111','10000','0000010','10000','10000','10000','10000','00','1110011','10000','10000','10000','1011011','10000','10000','10000','10000','10000','1111010','10000','1100001','1100110','1111100','10000','1000','01010','001000','10000','00010','10000','10000','10000','0110110','10000','001101','10000','10000','10000','00010','1100','10000','1011010','1101010','10000','1010111','100010','10000','1101001','10000','000010','010100','010100','000110','10000','10000','0010010','0110111','10000','0010100','10000','1100','111000','0010001','0111100','10000','10000','10000'
'------','-----','-------','-------','-----','-----','------','-------','-----','-------','-----','-----','-----','-----','-----','-----','-----','-----','-----','-----','-------','-----','-------','--','-----','-------','-----','-----','----','------','-------','-----','-------','-------','-----','-------','-----','-----','-----','-----','--','-------','-----','-----','-----','-------','-----','-----','-----','-----','-----','-------','-----','-------','-------','-------','-----','----','-----','------','-----','-----','-----','-----','-----','-------','-----','------','-----','-----','-----','-----','----','-----','-------','-------','-----','-------','------','-----','-------','-----','------','------','------','------','-----','-----','-------','-------','-----','-------','-----','----','------','-------','-------','-----','-----','-----'
'10000','10000','101100','1100000','0001010','101','10000','1110111','10000','10000','10000','0110011','110','00101','0010111','1010101','1000000','000100','1110101','00','0001001','10000','10000','0001001','10000','10000','10000','10000','1000100','10000','10000','011000','1101111','10000','1000','110010','10000','10000','000010','10000','10000','10000','111100','0010101','10000','10000','0111011','1010010','10000','01110','10000','0001001','10000','10000','1110','1100110','110110','0110011','10000','1110011','10000','10000','0111','10000','111001','10000','1111011','1010101','10000','0100110','1100100','0011111','10000','010101','10000','0010110','11011','0111110','00000','100001','000111','1101010','0111000','10000','10000','10000','10000','010011','0011110','1','10000','0111011','0111110','10000','10000','1110001','10000','10000','0101010','10000'
'-----','-----','------','-------','-------','---','-----','-------','-----','-----','-----','-------','---','-----','-------','-------','-------','------','-------','--','-------','-----','-----','-------','-----','-----','-----','-----','-------','-----','-----','------','-------','-----','----','------','-----','-----','------','-----','-----','-----','------','-------','-----','-----','-------','-------','-----','-----','-----','-------','-----','-----','----','-------','------','-------','-----','-------','-----','-----','----','-----','------','-----','-------','-------','-----','-------','-------','-------','-----','------','-----','-------','-----','-------','-----','------','------','-------','-------','-----','-----','-----','-----','------','-------','-','-----','-------','-------','-----','-----','-------','-----','-----','-------','-----'
'10000','10111','1100','10000','10000','10000','101','10000','00110','1010','10000','10000','10000','10000','111101','0111010','10000','10000','10000','111010','10000','010111','1110000','10000','10000','0000111','10000','0110001','10000','10000','111011','10000','10000','1001000','10000','1011000','10000','00111','0001111','10000','110011','0101010','1001011','10000','10000','10000','10000','1010100','10000','10000','10000','10','10000','1010101','10000','001001','10000','001000','10000','100101','1110000','1011001','10000','0111100','10000','1110101','1000001','0110110','10000','00100','10000','10000','11101','10000','10000','0111010','10000','10000','10000','1010010','10000','10000','10000','10000','0100001','1110101','010001','11','10000','10000','10000','0101110','0110001','1000001','1101','0001000','10000','10000','101101','10000'
'-----','-----','----','-----','-----','-----','---','-----','-----','----','-----','-----','-----','-----','------','-------','-----','-----','-----','------','-----','------','-------','-----','-----','-------','-----','-------','-----','-----','------','-----','-----','-------','-----','-------','-----','-----','-------','-----','------','-------','-------','-----','-----','-----','-----','-------','-----','-----','-----','--','-----','-------','-----','------','-----','------','-----','------','-------','-------','-----','-------','-----','-------','-------','-------','-----','-----','-----','-----','-----','-----','-----','-------','-----','-----','-----','-------','-----','-----','-----','-----','-------','-------','------','--','-----','-----','-----','-------','-------','-------','----','-------','-----','-----','------','-----'
'10000','0000010','10000','0100011','10000','10000','10000','0101000','0110010','1000000','10000','10000','0011010','1101','011110','111000','100011','10000','0100011','10000','10000','10000','10000','000010','010','1111010','10000','10000','101000','1010101','10000','10000','10000','001010','10000','011110','10000','11110','10000','001100','10000','10000','10000','10000','0101010','10000','10000','0111','000100','1011111','0','1001000','10000','10000','1001010','1011101','000001','1110110','10000','10000','10000','10000','00101','0100110','10000','0000101','10000','1110001','0001010','10000','010000','01000','10000','10000','10000','01110','0011','10000','01111','1001110','10000','10000','10000','10000','01111','1101','000110','10000','1111000','0110000','10010','10000','0011001','11000','0111101','10000','10000','10000','10000','0001000'
'-----','-------','-----','-------','-----','-----','-----','-------','-------','-------','-----','-----','-------','----','------','------','------','-----','-------','-----','-----','-----','-----','------','---','-------','-----','-----','------','-------','-----','-----','-----','------','-----','------','-----','-----','-----','------','-----','-----','-----','-----','-------','-----','-----','----','------','-------','-','-------','-----','-----','-------','-------','------','-------','-----','-----','-----','-----','-----','-------','-----','-------','-----','-------','-------','-----','------','-----','-----','-----','-----','-----','----','-----','-----','-------','-----','-----','-----','-----','-----','----','------','-----','-------','-------','-----','-----','-------','-----','-------','-----','-----','-----','-----','-------'
'0100001','0110','10000','10000','1000101','100010','10000','10000','10000','1110000','10000','11010','1011101','001100','10000','0010110','0010010','10000','00','0101','10000','10000','00100','10000','101101','10000','0001000','1100','001111','10000','1011000','10000','001100','10000','11011','1111111','10000','0101','10000','10000','1011000','10000','001101','001100','10000','0101100','0111','10000','10000','111100','10000','10000','1111011','1110100','10000','10000','00001','10000','10000','010100','10000','10000','1000100','011','101000','11100','10000','10000','0100110','0011101','100110','10000','100101','01111','0011','110010','10000','10000','1101','11','10000','10000','10000','10000','0000011','10000','10000','00010','0000011','10000','10000','0101010','10000','0000000','001010','10000','10000','10000','1101101','0001010'
'-------','----','-----','-----','-------','------','-----','-----','-----','-------','-----','-----','-------','------','-----','-------','-------','-----','--','----','-----','-----','-----','-----','------','-----','-------','----','------','-----','-------','-----','------','-----','-----','-------','-----','----','-----','-----','-------','-----','------','------','-----','-------','----','-----','-----','------','-----','-----','-------','-------','-----','-----','-----','-----','-----','------','-----','-----','-------','---','------','-----','-----','-----','-------','-------','------','-----','------','-----','----','------','-----','-----','----','--','-----','-----','-----','-----','-------','-----','-----','-----','-------','-----','-----','-------','-----','-------','------','-----','-----','-----','-------','-------'
'10000','10000','10000','10000','1000101','10000','1111','10000','10000','10000','0001011','10000','10000','0001101','10000','10000','10000','1010011','110001','10000','10000','10000','101011','0010000','101011','1000010','10000','10000','10000','10000','110011','10000','1110','10000','10000','1101100','1010001','10000','10000','10000','10000','0110110','1001','10000','10000','10000','1111','10000','1000','10000','000111','1100010','10000','001010','1100111','111011','10000','10000','0000001','1001101','10000','10000','10000','1110101','0011101','10000','0101111','10','0001011','100011','10000','10000','10000','10000','10000','101101','101010','10000','100011','010111','0111011','0010011','0100111','10000','10000','10000','10000','000000','111010','10000','00100','10000','001110','00100','10000','001110','10000','10000','10000','1111110'
'-----','-----','-----','-----','-------','-----','----','-----','-----','-----','-------','-----','-----','-------','-----','-----','-----','-------','------','-----','-----','-----','------','-------','------','-------','-----','-----','-----','-----','------','-----','----','-----','-----','-------','-------','-----','-----','-----','-----','-------','----','-----','-----','-----','----','-----','----','-----','------','-------','-----','------','-------','------','-----','-----','-------','-------','-----','-----','-----','-------','-------','-----','-------','--','-------','------','-----','-----','-----','-----','-----','------','------','-----','------','------','-------','-------','-------','-----','-----','-----','-----','------','------','-----','-----','-----','------','-----','-----','------','-----','-----','-----','-------'
'1010010','010111','10000','0','10000','0101010','100100','10000','0011110','0101110','10000','0110111','10000','111010','1001110','00111','10100','011010','10000','10000','011101','10000','111100','10000','0000000','10000','0000000','1010101','1010','10000','10000','10000','1011101','10000','10010','10000','10000','01','10000','10000','10000','01101','1001101','11','10000','10000','10000','110000','10000','0001000','10000','10000','10000','10000','10000','10000','10000','011110','10000','10000','10000','10000','001011','10110','1010101','1000101','10000','10000','10000','0000010','10000','001100','101000','10000','10000','10000','10000','0111011','0101101','11111','10000','1010010','10000','10000','10000','111111','1001101','1100110','111010','0001111','10000','0001100','010000','1111010','10000','001101','1011000','10000','101111','10011'
'-------','------','-----','-','-----','-------','------','-----','-------','-------','-----','-------','-----','------','-------','-----','-----','------','-----','-----','------','-----','------','-----','-------','-----','-------','-------','----','-----','-----','-----','-------','-----','-----','-----','-----','--','-----','-----','-----','-----','-------','--','-----','-----','-----','------','-----','-------','-----','-----','-----','-----','-----','-----','-----','------','-----','-----','-----','-----','------','-----','-------','-------','-----','-----','-----','-------','-----','------','------','-----','-----','-----','-----','-------','-------','-----','-----','-------','-----','-----','-----','------','-------','-------','------','-------','-----','-------','------','-------','-----','------','-------','-----','------','-----'
